epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,866.186,1.97123,3.21076,1.51185,0.29665,0.22882,0.20167,0.09065,1.91063,3.06124,1.43399,0.000472955,0.000472955,0.000472955
2,1710.04,1.84577,2.37734,1.44467,0.29967,0.37069,0.23851,0.09887,1.91547,2.73715,1.51767,0.000930493,0.000930493,0.000930493
3,2584.29,1.85415,2.15763,1.47498,0.26279,0.33763,0.19186,0.08351,1.99799,2.55749,1.56154,0.00136917,0.00136917,0.00136917
4,3507.88,1.82574,1.95856,1.47318,0.38662,0.42987,0.38526,0.17204,1.92132,2.12812,1.5085,0.00134412,0.00134412,0.00134412
5,4420.47,1.79983,1.79479,1.43635,0.45465,0.47014,0.39466,0.16702,1.915,1.98707,1.48069,0.00131582,0.00131582,0.00131582
6,5284.41,1.80298,1.73037,1.43856,0.41799,0.40113,0.3404,0.15485,1.89608,1.92384,1.53171,0.00128753,0.00128753,0.00128753
7,6157.41,1.75905,1.66742,1.40746,0.49193,0.4656,0.45622,0.19553,1.93888,1.73281,1.50587,0.00125923,0.00125923,0.00125923
8,7021.4,1.72634,1.56156,1.39849,0.47805,0.51371,0.46466,0.20668,1.91278,1.64764,1.49418,0.00123094,0.00123094,0.00123094
9,7916.45,1.70235,1.51509,1.37597,0.51913,0.50502,0.49071,0.20223,1.92506,1.64593,1.50775,0.00120265,0.00120265,0.00120265
10,8819.79,1.68924,1.46383,1.36714,0.50079,0.49298,0.43088,0.19496,1.90506,1.6895,1.51191,0.00117435,0.00117435,0.00117435
11,9717.96,1.65705,1.4043,1.33757,0.60691,0.51412,0.52572,0.25041,1.77195,1.57486,1.37571,0.00114606,0.00114606,0.00114606
12,10654,1.63663,1.368,1.33039,0.5412,0.61938,0.54088,0.24585,1.82468,1.46473,1.43054,0.00111776,0.00111776,0.00111776
13,11595.9,1.6461,1.36074,1.32543,0.61898,0.57272,0.58845,0.28725,1.81284,1.39063,1.421,0.00108947,0.00108947,0.00108947
14,12535.5,1.61573,1.30724,1.31403,0.55568,0.62918,0.55708,0.24845,1.88219,1.42777,1.47522,0.00106118,0.00106118,0.00106118
15,13489.5,1.60051,1.28068,1.29506,0.60198,0.61258,0.56669,0.27501,1.79422,1.46835,1.39346,0.00103288,0.00103288,0.00103288
16,14384,1.57106,1.25849,1.29303,0.58457,0.61199,0.57345,0.27533,1.76965,1.43035,1.38284,0.00100459,0.00100459,0.00100459
17,15267,1.59732,1.25454,1.30389,0.63114,0.5943,0.59685,0.28528,1.80857,1.41592,1.41101,0.000976293,0.000976293,0.000976293
18,16222.8,1.54798,1.18986,1.28091,0.58286,0.59092,0.55678,0.27804,1.74368,1.42752,1.37743,0.000947999,0.000947999,0.000947999
19,17164.6,1.52086,1.14449,1.25951,0.58487,0.56467,0.52802,0.25434,1.78692,1.46507,1.39469,0.000919704,0.000919704,0.000919704
20,18325.2,1.52209,1.15675,1.26083,0.58459,0.52637,0.52909,0.25034,1.83496,1.54683,1.43207,0.00089141,0.00089141,0.00089141
21,22199.8,1.51449,1.11062,1.24618,0.68896,0.6294,0.629,0.30114,1.75548,1.32183,1.3843,0.000863116,0.000863116,0.000863116
22,25892.8,1.49805,1.09848,1.24291,0.65296,0.65338,0.64559,0.32296,1.71859,1.27735,1.35513,0.000834822,0.000834822,0.000834822
23,26772.1,1.46915,1.07758,1.22559,0.58112,0.64598,0.58721,0.29051,1.75959,1.34828,1.36879,0.000806528,0.000806528,0.000806528
24,27646.1,1.45615,1.05119,1.21938,0.6734,0.6454,0.63867,0.31821,1.77035,1.2142,1.39256,0.000778233,0.000778233,0.000778233
25,28508.1,1.46075,1.03428,1.2234,0.70702,0.64639,0.66284,0.34568,1.66337,1.22478,1.32993,0.000749939,0.000749939,0.000749939
26,30340.5,1.44805,1.0098,1.21696,0.69318,0.65842,0.66218,0.33649,1.68992,1.18286,1.33842,0.000721645,0.000721645,0.000721645
27,40650.6,1.41432,0.97233,1.1912,0.70792,0.63854,0.65428,0.33351,1.69961,1.21921,1.33481,0.000693351,0.000693351,0.000693351
